xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,subType,scoreDiff,shotPct,clutchFlag
18,-5,2,1,1,Putback Dunk Shot,-3.0,0.5,0
-43,79,9,1,1,Driving Floating Jump Shot,3.0,0.533,0
-17,10,2,0,1,Driving Dunk Shot,-3.0,0.47,0
-38,248,25,1,1,Jump Shot,4.0,0.409,0
20,16,3,1,1,Running Layup Shot,-4.0,0.47,0
-1,167,17,0,1,Pullup Jump shot,-1.0,0.52,0
-16,4,2,1,1,Cutting Layup Shot,-2.0,0.426,0
4,6,1,1,1,Dunk Shot,2.0,0.609,0
-38,263,27,0,1,Pullup Jump shot,-3.0,0.363,0
-88,121,15,0,1,Step Back Jump shot,-4.0,0.437,0
51,288,29,0,1,Jump Shot,-4.0,0.409,0
-229,-1,0,1,1,Jump Shot,4.0,0.337,0
137,38,14,0,1,Pullup Jump shot,-4.0,0.52,0
28,21,4,0,1,Putback Layup Shot,7.0,0.52,0
9,38,4,0,1,Layup Shot,6.0,0.497,0
-32,260,26,1,1,Jump Shot,5.0,0.414,0
-81,250,26,0,1,Pullup Jump shot,-5.0,0.409,0
-178,117,21,0,1,Pullup Jump shot,-2.0,0.431,0
10,82,8,1,1,Floating Jump shot,2.0,0.578,0
7,16,2,1,1,Driving Finger Roll Layup Shot,2.0,0.431,0
-137,215,25,0,1,Jump Shot,-4.0,0.363,0
-31,54,6,1,1,Driving Floating Jump Shot,-6.0,0.52,0
70,56,9,0,1,Driving Layup Shot,-7.0,0.46,0
66,64,9,1,1,Fadeaway Jump Shot,5.0,0.52,0
9,13,2,1,1,Cutting Dunk Shot,-5.0,0.578,0
-239,62,25,1,1,Jump Shot,3.0,0.351,0
-174,197,26,0,1,Jump Shot,-5.0,0.366,0
0,0,0,1,1,Putback Layup Shot,-2.0,0.46,0
-6,14,2,1,1,Running Finger Roll Layup Shot,2.0,0.46,0
17,53,6,1,1,Driving Floating Jump Shot,-4.0,0.454,0
173,194,26,0,1,Jump Shot,4.0,0.383,0
-6,75,8,0,1,Floating Jump shot,-3.0,0.497,0
26,15,3,1,1,Cutting Layup Shot,-3.0,0.52,0
-77,126,15,0,1,Pullup Jump shot,-4.0,0.437,0
-28,11,3,0,1,Running Layup Shot,-2.0,0.526,0
17,5,2,1,1,Driving Layup Shot,-1.0,0.467,0
33,32,5,1,1,Driving Layup Shot,-2.0,0.426,0
-44,22,5,0,1,Driving Layup Shot,0.0,0.533,0
0,0,0,0,1,Tip Layup Shot,2.0,0.533,0
181,257,31,1,1,Running Jump Shot,2.0,0.409,0
